id,from_concept_id,to_concept_id
0,3249,1442
1,3,4659
2,3,4660
3,3,4661
4,4,3249
5,3276,3249
6,10,4723
7,10,5142
8,3334,3333
9,3357,3333
10,3358,3
11,3358,3334
12,3397,3357
13,3397,3358
14,24,23
15,26,9660
16,26,9661
17,32,9051
18,96,9055
19,96,9852
20,100,3868
21,77,8934
22,77,6781
23,4699,4697
24,82,100
25,4709,4697
26,3001,175
27,2334,651
28,3001,77
29,3001,176
30,3001,157
31,10741,5141
32,10741,5620
33,3144,77
34,3144,6781
35,3160,157
36,3160,6781
37,3161,8934
38,3167,8933
39,3167,175
40,3167,176
41,3167,4678
42,3167,6870
43,3179,4678
44,100,96
45,82,5190
46,107,106
47,108,107
48,116,7944
49,117,8790
50,117,3793
51,3820,3798
52,3262,2787
53,3875,3264
54,3877,3821
55,2615,7933
56,2616,2068
57,2616,2073
58,2617,2615
59,2617,2068
60,2618,2615
61,2618,2073
62,2619,2615
63,2619,2616
64,2620,1875
65,2621,1875
66,2621,7943
67,3893,3891
68,150,3895
69,153,3890
70,153,3891
71,157,8933
72,8935,8933
73,163,3826
74,163,3827
75,163,3828
76,164,163
77,169,5619
78,9100,8933
79,175,8933
80,176,8934
81,177,175
82,188,4957
83,2625,2620
84,2626,192
85,2627,192
86,197,190
87,2337,5190
88,2359,3347
89,2359,4703
90,3682,2621
91,3691,202
92,204,190
93,3692,202
94,217,190
95,3703,3693
96,3703,3702
97,219,188
98,3704,3693
99,3704,3702
100,3728,1728
101,223,176
102,223,177
103,224,8934
104,225,8933
105,226,224
106,227,226
107,9110,226
108,9110,227
109,3751,452
110,3752,3751
111,3753,2621
112,9111,227
113,9147,227
114,3756,3681
115,3757,3756
116,3825,3756
117,3825,3757
118,9148,227
119,253,4604
120,258,253
121,9151,9148
122,9151,9150
123,9153,9151
124,9154,9150
125,9154,9151
126,9155,9150
127,9155,9151
128,9156,9150
129,9156,9151
130,3399,3249
131,3399,3250
132,289,253
133,289,254
134,290,253
135,291,4724
136,7307,6776
137,7308,7307
138,7309,7308
139,307,7797
140,307,7798
141,307,7799
142,308,307
143,309,308
144,9157,320
145,9193,9158
146,3400,3399
147,3401,3399
148,3401,3251
149,3427,3400
150,3428,3400
151,337,5254
152,339,6805
153,342,6804
154,5256,333
155,346,6804
156,3916,3249
157,3916,190
158,3918,3916
159,3826,1872
160,3827,8238
161,3828,3826
162,3828,3827
163,355,363
164,5258,2096
165,9163,3918
166,5259,1873
167,5260,1873
168,360,2129
169,3918,5653
170,5266,2129
171,363,7598
172,5267,2129
173,365,363
174,10313,2129
175,10328,2129
176,3920,3918
177,10330,10329
178,371,8006
179,371,8014
180,371,8015
181,371,8017
182,371,8019
183,371,8020
184,371,8021
185,371,8016
186,371,8018
187,371,8022
188,10332,10329
189,373,8006
190,373,8014
191,373,8015
192,373,8017
193,373,8019
194,373,8020
195,373,8021
196,373,8016
197,373,8018
198,374,10332
199,376,375
200,9194,9151
201,9194,375
202,9195,375
203,9196,375
204,9196,9194
205,9197,9196
206,9198,9195
207,9198,9196
208,9199,9197
209,9199,9198
210,9207,9199
211,9208,9199
212,9209,9199
213,9210,9197
214,9210,9199
215,9211,9197
216,9215,9194
217,9216,9150
218,391,4959
219,399,6784
220,5268,2110
221,5268,8005
222,5269,481
223,5269,8005
224,5270,481
225,5271,481
226,405,8006
227,405,8014
228,405,8015
229,405,8017
230,405,8019
231,405,8020
232,405,8021
233,405,8016
234,405,8018
235,405,8022
236,407,405
237,407,8006
238,407,8014
239,407,8015
240,407,8017
241,407,8019
242,407,8020
243,407,8021
244,407,8016
245,407,8018
246,407,8022
247,408,3918
248,408,4680
249,409,8006
250,409,8014
251,409,8015
252,409,8017
253,409,8019
254,409,8020
255,409,8021
256,409,8016
257,409,8018
258,409,8022
259,411,8006
260,411,8014
261,411,8015
262,411,8017
263,411,8019
264,411,8020
265,411,8021
266,411,8016
267,411,8018
268,411,8022
269,413,408
270,413,4678
271,5288,3751
272,5289,5288
273,5289,1876
274,5290,3751
275,5290,5288
276,5290,5289
277,5297,5290
278,5297,1876
279,5298,3751
280,5298,5288
281,5298,5290
282,425,5289
283,425,5297
284,425,1876
285,426,5288
286,426,5290
287,426,425
288,429,8124
289,5311,427
290,5311,428
291,434,428
292,434,5311
293,435,5311
294,435,434
295,436,7935
296,436,7936
297,436,8124
298,437,427
299,437,428
300,438,8129
301,438,8131
302,438,8132
303,439,438
304,439,8129
305,439,8130
306,439,8132
307,440,428
308,441,437
309,441,440
310,443,438
311,443,439
312,443,8129
313,443,8130
314,443,8132
315,445,444
316,446,444
317,447,351
318,447,8122
319,447,8095
320,448,446
321,448,2111
322,449,446
323,449,2111
324,5264,3400
325,451,448
326,451,2111
327,452,351
328,452,447
329,452,8122
330,454,2111
331,455,2111
332,456,454
333,456,455
334,458,351
335,458,447
336,458,8122
337,9182,3400
338,461,5836
339,461,6648
340,464,447
341,465,5836
342,465,6648
343,466,459
344,5532,459
345,5264,3399
346,5264,5653
347,5264,5654
348,5542,459
349,5543,459
350,471,452
351,5544,459
352,5318,3400
353,10395,5544
354,10396,351
355,10400,10398
356,481,5836
357,481,7918
358,481,8005
359,10402,10401
360,486,3399
361,486,5318
362,491,3400
363,5320,3399
364,5320,404
365,5320,491
366,494,4680
367,5322,4681
368,5323,8879
369,5326,8879
370,511,5323
371,511,5331
372,5334,511
373,5337,511
374,7636,8006
375,7636,8014
376,7636,8015
377,7636,8017
378,7636,8019
379,7636,8020
380,7636,8021
381,7636,8016
382,7636,8018
383,7636,8022
384,7637,8122
385,7653,8122
386,5372,7666
387,5372,9159
388,5374,5334
389,5375,5334
390,5376,5334
391,5377,5374
392,5377,5375
393,5377,5376
394,5803,162
395,5803,5377
396,574,7945
397,574,8122
398,5804,5375
399,5804,5376
400,7224,351
401,7224,1728
402,7225,351
403,7225,7224
404,7226,351
405,7226,7224
406,7226,7225
407,7227,3729
408,7227,351
409,7228,7226
410,7229,426
411,7230,7227
412,7230,7228
413,7230,7229
414,588,2129
415,589,587
416,590,587
417,590,588
418,590,589
419,591,588
420,591,589
421,592,339
422,592,2102
423,592,2105
424,592,10615
425,592,10618
426,593,339
427,593,2102
428,593,2105
429,593,10615
430,593,10618
431,594,2129
432,596,351
433,596,2111
434,598,3824
435,598,7227
436,598,596
437,599,3824
438,599,7227
439,599,596
440,600,3824
441,600,7227
442,600,596
443,601,3824
444,601,7227
445,601,596
446,602,3729
447,602,3824
448,602,7225
449,602,7226
450,602,596
451,606,309
452,605,309
453,605,606
454,606,605
455,610,3751
456,611,452
457,612,452
458,614,610
459,614,612
460,615,8091
461,615,8138
462,616,8091
463,616,8138
464,617,616
465,618,8091
466,618,8138
467,619,618
468,9590,8091
469,9590,8138
470,10403,5532
471,10403,5542
472,10404,459
473,10404,10403
474,623,5532
475,624,459
476,625,10404
477,625,624
478,626,10403
479,627,457
480,628,463
481,628,627
482,2359,8876
483,2361,285
484,2362,5825
485,2363,5190
486,651,3378
487,651,3843
488,2378,4252
489,2378,5192
490,5805,5338
491,5805,6649
492,2379,5197
493,2379,5198
494,2379,5199
495,2379,10817
496,2380,5197
497,2380,5199
498,2380,10817
499,2381,5198
500,2381,5199
501,706,9931
502,706,705
503,708,7229
504,709,3729
505,709,707
506,709,708
507,709,1876
508,710,2111
509,711,596
510,711,710
511,712,596
512,712,710
513,712,2111
514,713,596
515,713,710
516,713,2111
517,714,710
518,770,603
519,5261,78
520,5308,4709
521,5308,9728
522,5595,5308
523,811,8418
524,811,8419
525,811,8420
526,812,8418
527,812,8419
528,812,8420
529,813,333
530,813,337
531,813,5254
532,813,5255
533,814,343
534,814,5256
535,814,348
536,5505,813
537,5506,5505
538,5507,813
539,818,337
540,818,813
541,818,5255
542,5510,343
543,5510,5256
544,5510,5507
545,5534,972
546,5765,5766
547,5769,5118
548,5770,8425
549,5771,8425
550,5773,8427
551,5773,8428
552,5775,5769
